year,ACTscore,zscore
2001,14.5,-0.8158995301626982
2002,14.5,-0.8158995301626982
2003,14.8,-0.7201312658546999
2004,15.0,-0.6562857563160348
2005,15.2,-0.5924402467773697
2006,14.7,-0.752054020624033
2007,14.6,-0.7839767753933656
2008,14.9,-0.6882085110853674
2009,14.1,-0.9435905492400289
2010,15.0,-0.6562857563160348
2011,14.3,-0.8797450397013633
2012,14.7,-0.752054020624033
2013,14.7,-0.752054020624033
2014,14.5,-0.8158995301626982
2001,14.5,-0.8158995301626982
2002,14.8,-0.7201312658546999
2003,14.8,-0.7201312658546999
2004,15.2,-0.5924402467773697
2005,15.3,-0.5605174920080366
2006,15.1,-0.6243630015467022
2007,15.1,-0.6243630015467022
2008,15.1,-0.6243630015467022
2009,14.5,-0.8158995301626982
2010,14.9,-0.6882085110853674
2011,14.7,-0.752054020624033
2012,14.8,-0.7201312658546999
2013,14.6,-0.7839767753933656
2014,14.7,-0.752054020624033
2010,15.2,-0.5924402467773697
2011,15.6,-0.4647492277000389
2012,15.5,-0.49667198246937144
2013,14.1,-0.9435905492400289
2014,14.3,-0.8797450397013633
2012,18.2,0.3652423963026105
2013,18.1,0.33331964153327853
2014,18.5,0.46101066061060875
2001,20.0,0.9398519821505988
2002,21.3,1.354847794151924
2003,21.6,1.4506160584599221
2004,23.0,1.8975346252305791
2005,23.7,2.1209939086159078
2006,22.0,1.5783070775372523
2007,23.2,1.961380134769244
2008,24.4,2.344453192001236
2009,24.2,2.280607682462571
2010,24.8,2.4721442110785676
2011,24.8,2.4721442110785676
2012,25.1,2.567912475386566
2013,26.3,2.9509855326185574
2014,26.6,3.0467537969265557
2010,14.6,-0.7839767753933656
2011,14.9,-0.6882085110853674
2012,14.6,-0.7839767753933656
2013,14.5,-0.8158995301626982
2014,14.0,-0.9755133040093615
2001,17.2,0.04601484860928379
2002,17.1,0.01409209383995179
2003,16.9,-0.049753415698714464
2004,18.1,0.33331964153327853
2005,17.6,0.17370586768661517
2006,17.3,0.07793760337861691
2007,17.5,0.14178311291728204
2008,17.7,0.20562862245594715
2009,17.4,0.10986035814794891
2010,17.5,0.14178311291728204
2011,17.9,0.2694741319946123
2012,17.9,0.2694741319946123
2013,18.3,0.39716515107194367
2014,18.6,0.4929334153799419
2010,17.3,0.07793760337861691
2011,17.7,0.20562862245594715
2012,17.5,0.14178311291728204
2013,17.9,0.2694741319946123
2014,17.4,0.10986035814794891
2003,23.3,1.9933028895385774
2004,25.3,2.6317579849252306
2005,25.8,2.791371758771894
2006,25.9,2.823294513541226
2007,26.3,2.9509855326185574
2008,27.0,3.174444816003886
2009,28.1,3.525595118466546
2010,27.6,3.3659813446198825
2011,27.0,3.174444816003886
2012,27.8,3.4298268541585477
2013,29.3,3.908668175698538
2014,29.1,3.844822666159873
2001,14.8,-0.7201312658546999
2002,15.1,-0.6243630015467022
2003,14.1,-0.9435905492400289
2004,15.7,-0.4328264729307063
2005,15.5,-0.49667198246937144
2006,15.7,-0.4328264729307063
2007,16.8,-0.08167617046804646
2008,16.2,-0.27321269908404294
2009,15.7,-0.4328264729307063
2010,15.9,-0.3689809633920406
2011,16.1,-0.3051354538533749
2012,17.2,0.04601484860928379
2013,16.3,-0.24128994431470982
2014,15.9,-0.3689809633920406
2010,15.9,-0.3689809633920406
2011,15.9,-0.3689809633920406
2012,16.6,-0.1455216800067116
2013,16.1,-0.3051354538533749
2014,16.1,-0.3051354538533749
2001,13.8,-1.0393588135480267
2002,14.5,-0.8158995301626982
2003,14.5,-0.8158995301626982
2004,14.5,-0.8158995301626982
2005,15.2,-0.5924402467773697
2006,14.6,-0.7839767753933656
2007,15.3,-0.5605174920080366
2008,14.3,-0.8797450397013633
2009,14.9,-0.6882085110853674
2010,15.0,-0.6562857563160348
2011,14.1,-0.9435905492400289
2012,14.8,-0.7201312658546999
2013,14.6,-0.7839767753933656
2014,14.7,-0.752054020624033
2003,14.6,-0.7839767753933656
2004,14.5,-0.8158995301626982
2005,14.3,-0.8797450397013633
2007,14.6,-0.7839767753933656
2008,14.4,-0.8478222849320307
2009,15.1,-0.6243630015467022
2010,13.8,-1.0393588135480267
2011,13.4,-1.1670498326253576
2012,13.6,-1.1032043230866924
2013,13.6,-1.1032043230866924
2014,14.1,-0.9435905492400289
2008,16.4,-0.20936718954537784
2009,13.6,-1.1032043230866924
2010,13.7,-1.0712815683173598
2011,13.2,-1.2308953421640232
2012,13.9,-1.0074360587786941
2013,13.7,-1.0712815683173598
2014,14.6,-0.7839767753933656
2007,15.1,-0.6243630015467022
2008,15.3,-0.5605174920080366
2009,15.4,-0.528594737238704
2010,15.2,-0.5924402467773697
2011,15.4,-0.528594737238704
2012,15.4,-0.528594737238704
2013,15.9,-0.3689809633920406
2014,16.3,-0.24128994431470982
2011,14.4,-0.8478222849320307
2012,15.6,-0.4647492277000389
2013,14.7,-0.752054020624033
2014,15.4,-0.528594737238704
2001,15.6,-0.4647492277000389
2002,15.5,-0.49667198246937144
2003,15.7,-0.4328264729307063
2004,16.2,-0.27321269908404294
2005,15.7,-0.4328264729307063
2006,16.1,-0.3051354538533749
2007,16.9,-0.049753415698714464
2008,17.0,-0.017830660929381337
2009,16.5,-0.1774444347760447
2010,16.1,-0.3051354538533749
2011,16.2,-0.27321269908404294
2012,16.9,-0.049753415698714464
2013,16.7,-0.11359892523737959
2014,16.8,-0.08167617046804646
2001,14.6,-0.7839767753933656
2002,14.6,-0.7839767753933656
2003,15.1,-0.6243630015467022
2004,16.1,-0.3051354538533749
2005,15.6,-0.4647492277000389
2006,15.3,-0.5605174920080366
2012,20.0,0.9398519821505988
2013,20.7,1.1633112655359275
2014,20.6,1.1313885107665953
2011,15.1,-0.6243630015467022
2012,14.0,-0.9755133040093615
2013,16.3,-0.24128994431470982
2014,17.2,0.04601484860928379
2001,16.4,-0.20936718954537784
2002,16.9,-0.049753415698714464
2003,16.9,-0.049753415698714464
2004,16.8,-0.08167617046804646
2005,16.9,-0.049753415698714464
2006,16.6,-0.1455216800067116
2007,14.3,-0.8797450397013633
2008,15.4,-0.528594737238704
2009,15.4,-0.528594737238704
2010,15.8,-0.4009037181613732
2011,15.8,-0.4009037181613732
2012,16.9,-0.049753415698714464
2013,16.5,-0.1774444347760447
2014,17.2,0.04601484860928379
2001,15.3,-0.5605174920080366
2002,15.4,-0.528594737238704
2003,15.5,-0.49667198246937144
2004,15.9,-0.3689809633920406
2005,15.9,-0.3689809633920406
2006,16.0,-0.3370582086227081
2007,16.5,-0.1774444347760447
2008,16.9,-0.049753415698714464
2009,16.3,-0.24128994431470982
2010,16.0,-0.3370582086227081
2011,16.6,-0.1455216800067116
2012,16.8,-0.08167617046804646
2013,16.5,-0.1774444347760447
2014,17.0,-0.017830660929381337
2009,13.7,-1.0712815683173598
2010,12.9,-1.3266636064720208
2011,13.8,-1.0393588135480267
2012,12.5,-1.4543546255493516
2013,13.1,-1.2628180969333558
2014,13.7,-1.0712815683173598
2001,16.1,-0.3051354538533749
2002,15.7,-0.4328264729307063
2003,16.0,-0.3370582086227081
2004,15.9,-0.3689809633920406
2005,15.4,-0.528594737238704
2006,15.5,-0.49667198246937144
2007,15.7,-0.4328264729307063
2008,15.7,-0.4328264729307063
2009,15.0,-0.6562857563160348
2010,15.0,-0.6562857563160348
2011,15.2,-0.5924402467773697
2012,15.7,-0.4328264729307063
2013,15.3,-0.5605174920080366
2014,15.6,-0.4647492277000389
2001,13.7,-1.0712815683173598
2002,13.8,-1.0393588135480267
2003,14.4,-0.8478222849320307
2004,14.9,-0.6882085110853674
2005,14.6,-0.7839767753933656
2006,14.6,-0.7839767753933656
2007,14.2,-0.9116677944706965
2008,14.4,-0.8478222849320307
2009,14.6,-0.7839767753933656
2010,14.0,-0.9755133040093615
2011,14.0,-0.9755133040093615
2012,13.8,-1.0393588135480267
2013,13.2,-1.2308953421640232
2014,14.4,-0.8478222849320307
2001,14.0,-0.9755133040093615
2002,14.5,-0.8158995301626982
2003,14.2,-0.9116677944706965
2004,14.4,-0.8478222849320307
2005,15.4,-0.528594737238704
2006,15.5,-0.49667198246937144
2007,15.9,-0.3689809633920406
2008,15.7,-0.4328264729307063
2009,15.3,-0.5605174920080366
2010,15.4,-0.528594737238704
2011,16.0,-0.3370582086227081
2012,15.9,-0.3689809633920406
2013,15.6,-0.4647492277000389
2014,15.8,-0.4009037181613732
2001,13.6,-1.1032043230866924
2002,13.8,-1.0393588135480267
2003,14.1,-0.9435905492400289
2004,14.2,-0.9116677944706965
2005,14.2,-0.9116677944706965
2006,14.5,-0.8158995301626982
2007,13.8,-1.0393588135480267
2008,14.0,-0.9755133040093615
2009,13.4,-1.1670498326253576
2010,14.3,-0.8797450397013633
2011,14.0,-0.9755133040093615
2012,14.1,-0.9435905492400289
2013,14.3,-0.8797450397013633
2014,14.4,-0.8478222849320307
2001,12.9,-1.3266636064720208
2002,13.0,-1.2947408517026884
2003,13.6,-1.1032043230866924
2004,14.2,-0.9116677944706965
2005,14.0,-0.9755133040093615
2006,13.5,-1.135127077856025
2007,13.7,-1.0712815683173598
2008,14.1,-0.9435905492400289
2009,13.5,-1.135127077856025
2010,13.2,-1.2308953421640232
2011,13.6,-1.1032043230866924
2012,13.8,-1.0393588135480267
2013,13.4,-1.1670498326253576
2014,14.1,-0.9435905492400289
2001,14.5,-0.8158995301626982
2002,14.7,-0.752054020624033
2003,14.2,-0.9116677944706965
2004,14.5,-0.8158995301626982
2005,15.1,-0.6243630015467022
2006,15.0,-0.6562857563160348
2007,15.0,-0.6562857563160348
2008,14.9,-0.6882085110853674
2009,15.0,-0.6562857563160348
2010,14.8,-0.7201312658546999
2011,15.3,-0.5605174920080366
2012,15.4,-0.528594737238704
2013,15.0,-0.6562857563160348
2014,15.9,-0.3689809633920406
2001,14.1,-0.9435905492400289
2002,14.1,-0.9435905492400289
2003,14.2,-0.9116677944706965
2004,14.2,-0.9116677944706965
2005,14.5,-0.8158995301626982
2006,14.2,-0.9116677944706965
2007,15.1,-0.6243630015467022
2008,14.8,-0.7201312658546999
2009,14.7,-0.752054020624033
2010,14.6,-0.7839767753933656
2011,14.0,-0.9755133040093615
2012,15.0,-0.6562857563160348
2013,15.0,-0.6562857563160348
2014,15.5,-0.49667198246937144
2001,13.4,-1.1670498326253576
2002,14.0,-0.9755133040093615
2003,14.1,-0.9435905492400289
2004,15.1,-0.6243630015467022
2005,14.9,-0.6882085110853674
2006,14.9,-0.6882085110853674
2007,15.1,-0.6243630015467022
2008,14.9,-0.6882085110853674
2009,14.4,-0.8478222849320307
2010,14.7,-0.752054020624033
2011,14.7,-0.752054020624033
2012,15.1,-0.6243630015467022
2013,14.9,-0.6882085110853674
2014,15.4,-0.528594737238704
2001,13.0,-1.2947408517026884
2002,13.3,-1.1989725873946901
2003,13.7,-1.0712815683173598
2004,13.6,-1.1032043230866924
2005,13.9,-1.0074360587786941
2006,13.8,-1.0393588135480267
2007,14.1,-0.9435905492400289
2008,14.1,-0.9435905492400289
2009,14.1,-0.9435905492400289
2010,14.2,-0.9116677944706965
2011,14.5,-0.8158995301626982
2012,14.6,-0.7839767753933656
2013,14.1,-0.9435905492400289
2014,14.0,-0.9755133040093615
2001,13.7,-1.0712815683173598
2002,14.2,-0.9116677944706965
2003,14.2,-0.9116677944706965
2004,13.9,-1.0074360587786941
2005,14.6,-0.7839767753933656
2006,14.6,-0.7839767753933656
2008,14.7,-0.752054020624033
2009,14.8,-0.7201312658546999
2010,14.8,-0.7201312658546999
2011,14.0,-0.9755133040093615
2012,13.5,-1.135127077856025
2013,13.7,-1.0712815683173598
2014,14.5,-0.8158995301626982
2001,16.0,-0.3370582086227081
2002,16.5,-0.1774444347760447
2003,16.3,-0.24128994431470982
2004,16.5,-0.1774444347760447
2005,16.4,-0.20936718954537784
2006,16.2,-0.27321269908404294
2007,16.1,-0.3051354538533749
2008,15.7,-0.4328264729307063
2009,15.8,-0.4009037181613732
2010,15.3,-0.5605174920080366
2011,15.6,-0.4647492277000389
2012,16.0,-0.3370582086227081
2013,14.9,-0.6882085110853674
2014,15.4,-0.528594737238704
2001,15.0,-0.6562857563160348
2002,15.0,-0.6562857563160348
2003,15.1,-0.6243630015467022
2004,15.4,-0.528594737238704
2005,15.9,-0.3689809633920406
2006,16.2,-0.27321269908404294
2007,16.8,-0.08167617046804646
2008,16.8,-0.08167617046804646
2009,16.9,-0.049753415698714464
2010,17.3,0.07793760337861691
2011,17.1,0.01409209383995179
2012,16.8,-0.08167617046804646
2013,16.9,-0.049753415698714464
2014,16.7,-0.11359892523737959
2001,13.7,-1.0712815683173598
2002,14.0,-0.9755133040093615
2003,14.0,-0.9755133040093615
2004,14.1,-0.9435905492400289
2005,14.7,-0.752054020624033
2006,14.7,-0.752054020624033
2007,15.2,-0.5924402467773697
2008,15.2,-0.5924402467773697
2009,14.7,-0.752054020624033
2010,15.2,-0.5924402467773697
2011,14.9,-0.6882085110853674
2012,15.2,-0.5924402467773697
2013,14.8,-0.7201312658546999
2014,15.8,-0.4009037181613732
2001,16.3,-0.24128994431470982
2002,16.9,-0.049753415698714464
2003,16.6,-0.1455216800067116
2004,15.9,-0.3689809633920406
2005,17.0,-0.017830660929381337
2006,16.5,-0.1774444347760447
2007,16.4,-0.20936718954537784
2008,16.8,-0.08167617046804646
2009,16.3,-0.24128994431470982
2010,16.3,-0.24128994431470982
2011,16.4,-0.20936718954537784
2012,17.9,0.2694741319946123
2013,17.6,0.17370586768661517
2014,18.5,0.46101066061060875
2001,16.5,-0.1774444347760447
2002,16.5,-0.1774444347760447
2003,16.6,-0.1455216800067116
2004,17.0,-0.017830660929381337
2005,17.5,0.14178311291728204
2006,17.2,0.04601484860928379
2007,17.8,0.23755137722528027
2008,17.7,0.20562862245594715
2009,18.0,0.3013968867639454
2010,18.2,0.3652423963026105
2011,17.8,0.23755137722528027
2012,18.6,0.4929334153799419
2013,18.1,0.33331964153327853
2014,18.1,0.33331964153327853
2001,21.2,1.3229250393825907
2002,21.0,1.2590795298439257
2003,20.8,1.1952340203052605
2004,21.8,1.5144615679985873
2005,21.6,1.4506160584599221
2006,21.5,1.4186933036905889
2007,22.3,1.6740753418452505
2008,22.7,1.801766360922581
2009,22.4,1.7059980966145827
2010,22.9,1.8656118704612459
2011,23.5,2.0571483990772426
2012,23.9,2.1848394181545725
2013,24.8,2.4721442110785676
2014,24.0,2.216762172923906
2001,13.0,-1.2947408517026884
2002,13.6,-1.1032043230866924
2003,14.2,-0.9116677944706965
2004,14.7,-0.752054020624033
2005,13.9,-1.0074360587786941
2006,13.9,-1.0074360587786941
2007,14.3,-0.8797450397013633
2008,14.5,-0.8158995301626982
2009,14.2,-0.9116677944706965
2010,14.4,-0.8478222849320307
2011,13.9,-1.0074360587786941
2012,14.7,-0.752054020624033
2013,14.1,-0.9435905492400289
2014,14.5,-0.8158995301626982
2001,13.3,-1.1989725873946901
2002,13.3,-1.1989725873946901
2003,13.4,-1.1670498326253576
2004,13.5,-1.135127077856025
2005,13.9,-1.0074360587786941
2006,13.8,-1.0393588135480267
2007,13.9,-1.0074360587786941
2008,14.2,-0.9116677944706965
2009,13.8,-1.0393588135480267
2010,13.6,-1.1032043230866924
2011,14.6,-0.7839767753933656
2012,14.4,-0.8478222849320307
2013,14.2,-0.9116677944706965
2014,14.6,-0.7839767753933656
2001,16.0,-0.3370582086227081
2002,15.8,-0.4009037181613732
2003,16.1,-0.3051354538533749
2004,16.7,-0.11359892523737959
2005,16.9,-0.049753415698714464
2006,16.7,-0.11359892523737959
2007,16.6,-0.1455216800067116
2008,16.7,-0.11359892523737959
2009,16.5,-0.1774444347760447
2010,16.7,-0.11359892523737959
2011,15.9,-0.3689809633920406
2012,16.7,-0.11359892523737959
2013,17.0,-0.017830660929381337
2014,16.8,-0.08167617046804646
2001,18.4,0.42908790584127565
2002,18.6,0.4929334153799419
2003,18.3,0.39716515107194367
2004,18.9,0.588701679687939
2005,19.1,0.6525471892266053
2006,19.2,0.6844699439959373
2007,19.4,0.7483154535346024
2008,18.0,0.3013968867639454
2009,18.1,0.33331964153327853
2010,18.7,0.5248561701492739
2011,17.8,0.23755137722528027
2012,18.1,0.33331964153327853
2013,18.2,0.3652423963026105
2014,17.6,0.17370586768661517
2001,19.6,0.8121609630732687
2002,19.4,0.7483154535346024
2003,19.2,0.6844699439959373
2004,20.6,1.1313885107665953
2005,20.5,1.0994657559972623
2006,20.3,1.035620246458597
2007,21.2,1.3229250393825907
2008,21.5,1.4186933036905889
2009,21.1,1.2910022846132587
2010,21.2,1.3229250393825907
2011,21.5,1.4186933036905889
2012,21.8,1.5144615679985873
2013,21.8,1.5144615679985873
2014,23.1,1.9294573799999122
2001,13.3,-1.1989725873946901
2002,13.5,-1.135127077856025
2003,13.7,-1.0712815683173598
2004,14.0,-0.9755133040093615
2005,14.1,-0.9435905492400289
2006,14.4,-0.8478222849320307
2007,14.5,-0.8158995301626982
